python-jinja 1:3.1.6-3
python-lxml 6.1.1-1
python-mako 1.3.11-1
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-more-itertools 11.1.0-1
python-packaging 26.2-1
python-pip 26.1.2-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.10.0-1
python-pycparser 3.00-1
python-pycups 2.0.4-4
python-pygments 2.20.0-1
python-pyqt6 6.11.0-2
python-pyqt6-sip 13.11.1-1
python-pyqt6-webengine 6.11.0-1
python-pywal 3.3.0-11
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-setproctitle 1.3.7-2
python-setuptools 1:82.0.1-1
python-tqdm 4.67.3-1
python-typing_extensions 4.15.0-3
python-urllib3 2.7.0-1
python-wheel 0.47.0-1
python-yaml 6.0.3-2
qca-qt6 2.3.10-7
qpdf 12.3.2-2
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-svg 5.15.19+kde+r5-1
qt5-tools 5.15.19+kde+r3-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-x11extras 5.15.19-1
qt5ct 1.9-2
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-declarative 6.11.1-2
qt6-multimedia 6.11.1-1
qt6-multimedia-ffmpeg 6.11.1-1
qt6-positioning 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
qt6-tools 6.11.1-1
qt6-translations 6.11.1-1
qt6-wayland 6.11.1-1
qt6-webchannel 6.11.1-1
qt6-webengine 6.11.1-1
qt6-websockets 6.11.1-1
qtkeychain-qt6 0.16.0-1
qutebrowser 3.7.0-1
ragel 7.0.4-1
ranger 1.9.4-5
raptor 2.0.16-9
rasqal 1:0.9.33-8
rav1e 0.8.1-2
re2 2:2025.11.05-4
readline 8.3.003-1
redland 1:1.0.17-10
rhash 1.4.6-1
ripgrep 15.1.0-3
ripgrep-all 0.10.10-1
rsync 3.4.3-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
run-parts 5.23.2-1
runc 1.4.2-1
rustup 1.29.0-2
sassc 3.6.2-5
sbc 2.2-1
scdoc 1.11.4-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
sdl2-compat 2.32.68-1
sdl3 3.4.10-1
seatd 0.9.3-1
sed 4.10-1
semver 7.8.1-1
serd 0.32.8-1
shaderc 2026.2-1
shadow 4.18.0-1
shared-mime-info 2.4-3
simdjson 1:4.6.4-1
sl 5.05-5
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
smbclient 2:4.24.3-1
snapper 0.13.1-2
snappy 1.2.2-3
sndio 1.10.0-1
solid 6.26.0-1
sonnet 6.26.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.1-1
source-highlight 3.1.9-18
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.350.0-1
sqlite 3.53.1-1
squashfs-tools 4.7.5-1
sratom 0.6.22-1
srt 1.5.5-1
starship 1.25.1-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
suricata 8.0.4-2
suricata-debug 8.0.4-2
svt-av1 4.1.0-1
svt-hevc 1.5.1-4
swappy 1.8.0-1
swayidle 1.9.0-1
